name,value
Administration of Justice,50553105993
Agriculture,11426629830
"Education, Training, Employment, and Social Services",1.06E+11
"Energy, Science, Space, and Technology",33033328655
General Government,3.58E+11
Health,4.85E+11
Income Security,4.42E+11
International Affairs,54125467610
Medicare,7.75E+11
National Defense,5.03E+11
Natural Resources and Environment,35663945691
Net Interest,3.84E+11
"Regional Development, Commerce, and Housing",55255108568
Social Security,7.46E+11
Transportation,75698815408
Veterans Benefits and Services,1.42E+11
Acquisition of Assets,81759719810
"Advisory, R&D, Medical, and Other Contracts",3.48E+11
"Grants, Subsidies, and Contributions",1.31E+12
Insurance Claims and Indemnities,1.51E+12
Interest and Dividends,3.84E+11
Other,-2.10E+11
Personnel Compensation and Benefits,4.14E+11
Printing and Supplies,79136470457
Refunds,2.91E+11
"Rent, Communications, and Utilities",31460444137
Travel and Transportation,18697891247